confusion_pair,true_label,predicted_label,post,annotation,notes
Incitement → Stereotypes,Incitement,Stereotypes,its my understanding that most abortions are by white women . judging from the surge in the non white population it,,
Incitement → Stereotypes,Incitement,Stereotypes,homosexuality  gun grabbing  and fake nationalism is not cool .,,
Incitement → Stereotypes,Incitement,Stereotypes,the scythians return for the remnant before they all head off to europe . #altright is going after the rest of our human capital : hahah real #israelites,,
Incitement → Stereotypes,Incitement,Stereotypes,merlan provides us with another example of why jews should be excluded from white countries #withjewswelose,,
Incitement → Stereotypes,Incitement,Stereotypes,auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...,,
Incitement → Stereotypes,Incitement,Stereotypes,a white woman leading a bunch of violent black men ... no wonder white women want diversity . kinda like when lenin wanted the tsar dead .,,
Incitement → Stereotypes,Incitement,Stereotypes," rt judge sentenced three  "" refugees "" "" to probation ( no jail time ) for rape of a 5 - year-old girl in idaho . national #media coverage ? of course not """,,
Incitement → Stereotypes,Incitement,Stereotypes,80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,,
Incitement → Stereotypes,Incitement,Stereotypes,is it because muhammad was a white man ?,,
Incitement → Stereotypes,Incitement,Stereotypes,aclu is no longer a protector of human rights . they are a protector of sharia rights,,
Incitement → Stereotypes,Incitement,Stereotypes,auschwitz didn't have a cinema and swimming pool for its prisoners ! #kkk #bbc3 #auschwitz #stopracism #alllivesmatter,,
Incitement → Stereotypes,Incitement,Stereotypes,i dont think so .. more blacks than whites by tons . easier for everyone they relocate  less blood,,
Incitement → Stereotypes,Incitement,Stereotypes,#roof and jared taylor have something in common they both like jews and think they are useful .,,
Incitement → Threats,Incitement,Threats,do you believe that all muslims are enemies of the united states and that all muslims must be expelled from the u.s.?,,
Incitement → Threats,Incitement,Threats,"the most important thing is immigration cuts! give more than a 50% cut! 80%! stop talking about merit this, merit that. talk about cuts!",,
Incitement → Threats,Incitement,Threats,give them jail time!,,
Incitement → Threats,Incitement,Threats,"arrest them all. no, really! do it!",,
Incitement → Threats,Incitement,Threats,why vet when you can close borders??? stuff vetting! #911 is good enough excuse to ban muzzas ok. do it so we can!,,
Incitement → Threats,Incitement,Threats,secure borders and impeach that's what you need to do. protect us! protect us!,,
Incitement → Threats,Incitement,Threats,good. just take back your citizens.,,
Incitement → Threats,Incitement,Threats,what is the wall for if amnesty is granted!!!!!,,
Incitement → Threats,Incitement,Threats,i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra,,
Incitement → Threats,Incitement,Threats,"use daca as a bargaining chip to massively reduce immigration, end chain migration, enforce e-verify, and reform refugee resettlement.",,
Incitement → Threats,Incitement,Threats,evangelical groups should be teaching respect for the law. illegal immigrants are breaking the law. no amnesty of any kind,,
Incitement → Threats,Incitement,Threats,if hindus in bihar want to live with dignity than they need 2 throw out these two psuedos hindus #abkibaarbjpinbihar,,
Inferiority → Irony,Inferiority,Irony,What do you call two chimps that fall in love? Black people.,,
Inferiority → Irony,Inferiority,Irony,What's the difference between a black person and a bucket of shit? The bucket.,,
Inferiority → Irony,Inferiority,Irony,"Why can't you act like a normal person? You don't have Asperger's. There's nothing wrong with you. You're just looking for attention/excuses. If you'd just stop behaving so oddly, you wouldn't need to blame it on a disease.",,
Inferiority → Irony,Inferiority,Irony,"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist",,
Inferiority → Irony,Inferiority,Irony,you mean illegal immigrants? stop mixing legal immigrants who have nothing to fear with illegal immigrants on food stamps!,,
Inferiority → Irony,Inferiority,Irony,"I wish GPS' had an avoid ghetto"" setting!""",,
Inferiority → Irony,Inferiority,Irony,here new nose is way better. less hasidic. makes her hair more blonde too apparently.,,
Inferiority → Irony,Inferiority,Irony,i can't. i'm trapped in black owned ohio!,,
Inferiority → Irony,Inferiority,Irony,"Just how Americans draw themselves slimmer. Japan does the same, they make anime have giant eyes while in reality they can’t see what their drawing",,
Inferiority → Irony,Inferiority,Irony,"anywhere but where they are? back to their ancestral homelands, maybe?",,
Inferiority → Irony,Inferiority,Irony,Doing a Physics degree is no way to get yourself a husband!,,
Inferiority → Irony,Inferiority,Irony,Hitler was a good doctor. He cured tons of disabilities.,,
Inferiority → Irony,Inferiority,Irony,"both dolezal and the genderqueer lady talk about covering themselves in filth (mud), the alien guy is pictured in blue goo. hmmm",,
Inferiority → Irony,Inferiority,Irony,and pork. mmm bacon. or clothing of mixed fabrics (as long as they don't look gay).,,
Inferiority → Incitement,Inferiority,Incitement,america was meant to be a white country . jim crow was meant to preserve the america the founding fathers envisioned .,,
Inferiority → Incitement,Inferiority,Incitement,i wish to god i could live in a white ethno state . imagine how peaceful and friendly it would be .,,
Inferiority → Incitement,Inferiority,Incitement,he's the lowest form of white there is .,,
Inferiority → Incitement,Inferiority,Incitement,and it's not a coincidence the best places to live are majority white,,
Inferiority → Incitement,Inferiority,Incitement,yes  and give it to the white deserving poor .,,
Inferiority → Incitement,Inferiority,Incitement,the african dream is a chance to move to america or europe to live under white privilege / civilization,,
Inferiority → Incitement,Inferiority,Incitement,it's a scientific fact that the white race is superior . #opkkk,,
Inferiority → Incitement,Inferiority,Incitement,since i'm half white can i still join ? ? i may appear black but i'm white in my heart #whitelivesmatter #whitepride,,
Inferiority → Incitement,Inferiority,Incitement,the white #aryan race has been-throughout history-the most creative & culturally constructive race of people .,,
Inferiority → Grievance,Inferiority,Grievance,they have no rights as illegals,,
Inferiority → Grievance,Inferiority,Grievance,jew activist anetta kahane wants to destroy europe via non-white immigration ( video ) via,,
Inferiority → Grievance,Inferiority,Grievance,not all government is bad . it is just a gross waste of taxpayer dollars to subsidize black people,,
Inferiority → Grievance,Inferiority,Grievance,i get a racist vibe from u caroline not that ur white more like a lesser mexican country,,
Inferiority → Grievance,Inferiority,Grievance,blue lives do matterwhen the cop is white,,
Irony → Inferiority,Irony,Inferiority,If men are so privileged and women have it so hard why are so many men choosing to live as females?,,
Irony → Inferiority,Irony,Inferiority,If furries wish to identify as animals we should be allowed to hunt them.,,
Irony → Inferiority,Irony,Inferiority,Whats tougher than a white man roaming the streets of Compton.... A dog roaming the streets of China,,
Irony → Inferiority,Irony,Inferiority,If only Africa had more mosquito nets If only Africa had more mosquito nets then every year we could save millions of mosquitoes from dying needlessly from AIDs.,,
Irony → Inferiority,Irony,Inferiority,if you work hard & take responsibility - i'll give your job to a foreign worker who'll work for less #immigration #sotu,,
Irony → Inferiority,Irony,Inferiority,Black people are like mitochondria They're the powerhouse of the cell,,
Irony → Inferiority,Irony,Inferiority,I don’t think I’m racist I love black people I think every family should have one,,
Irony → Inferiority,Irony,Inferiority,"white people don't exist, only black people do",,
Irony → Inferiority,Irony,Inferiority,"this man is a hero and a legend he brought a flamethrower to a riot, the hood truely is an advanced civilization",,
Irony → Inferiority,Irony,Inferiority,"free food, free rent, free healthcare, every man woman and child on the face of the earth receiving free ? priceless!",,
Irony → Inferiority,Irony,Inferiority,how dare people of european decent want their civilisation to live on & flourish ! ! so unreasonable !,,
Irony → Inferiority,Irony,Inferiority,"by 's logic, all of those cities should be utopia since the evil whiteman left.",,
Irony → Grievance,Irony,Grievance,some racist libtards say that if #trump wins  they will move to #canada . that's pretty funny ! why move to a white country  and not #mexico ?,,
Irony → Grievance,Irony,Grievance,that's because whites aren't going to burn down the town when they don't get their way .,,
Irony → Grievance,Irony,Grievance,if he were white  the media would be demanding every white person in americapay the first black person they see 100 dollars,,
Irony → Grievance,Irony,Grievance,"it's mexifornia, land of hemp fields and socialistsvery anti-citizen and pro-illegals",,
Irony → Grievance,Irony,Grievance,hey wants to join  as he / she is the perfect racist seems 2hate white people  be gms'new friend,,
Irony → Grievance,Irony,Grievance,bad drivers are fined $ <number> now that s just sexist .,,
Irony → Threats,Irony,Threats,translated that means throw out all current immigration laws and open the borders to the masses.,,
Irony → Threats,Irony,Threats,"i may be powerless to stop trannies from sharing a locker room with my daughter, but gosh darn it i can get a lot of sons killed overseas!",,
Irony → Threats,Irony,Threats,so now we deport him for the 7th time so he can jump the fence again and kill again!,,
Irony → Threats,Irony,Threats,"yes! wall sounds great. can keep mexicans from boats, tunnels and airplanes for a while longer? what about merpeople? wall off the ocean too",,
Irony → Threats,Irony,Threats,"#it's so wrong, elder! we need to defund planned butcherhood! those doctors should be ashamed!",,
Stereotypes → Grievance,Stereotypes,Grievance," vile  hateful #jew calls for extermination of #whitepeople & admits  "" diversity "" "" is a code-word for #whitegenocide """,,
Stereotypes → Grievance,Stereotypes,Grievance,demokkkrats started the kkk and now they are starting a racist jihad against white cops ! demokkkrats are racism experts !,,
Stereotypes → Grievance,Stereotypes,Grievance,you hate like a jew . you are fixated on hating white christians like a jew .,,
Stereotypes → Grievance,Stereotypes,Grievance,minneapoliss first somali policeman murders white woman : no media racist uproar via,,
Stereotypes → Grievance,Stereotypes,Grievance," rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """,,
Stereotypes → Grievance,Stereotypes,Grievance,media blanch when mentions rising crime  but are all too happy to report #blacklivesmatter myths .,,
Stereotypes → Grievance,Stereotypes,Grievance,"  "" : dr . david duke : the racial murder and rape of white women in america via "" "" """,,
Stereotypes → Grievance,Stereotypes,Grievance,i agree with everything . black people are more racist than white people . sorry but is the truth .. thank you for your truth .,,
Stereotypes → Grievance,Stereotypes,Grievance," rt  "" sanctuary cities are asylums from criminal illegals "" "" - . at #cpac2017 """,,
Stereotypes → Grievance,Stereotypes,Grievance,yet the only arrest made was a liberal  bernie voting  moslem . not one white trump voting racist . makes you think,,
Stereotypes → Grievance,Stereotypes,Grievance,white british : minority within 50 years #swrm #white #whitegenocide #uk via,,
Stereotypes → Grievance,Stereotypes,Grievance,hope in #hungary ! #rapefugees #refugees #wpww #whitegenocide,,
Stereotypes → Grievance,Stereotypes,Grievance,german antifa call for the rape and genocide of ethnic germans | read more : via,,
Stereotypes → Grievance,Stereotypes,Grievance," jews hate christians even more than  "" just "" "" white people  so i know i'm doing something right by claimin """,,
Stereotypes → Grievance,Stereotypes,Grievance,no daca deport them they have been on the taxpayer backs along with illegal parents since they arrived . my kids are still paying student loans why are theirs free and i'm paying it makes no sense . let them make their own countries great . no more illegals  daca  entitlements . out,,
Stereotypes → Incitement,Stereotypes,Incitement,. best way to stop gun violence in america ? disarm all black people . #tcot #teaparty #sbpdl,,
Stereotypes → Incitement,Stereotypes,Incitement,to me  it comes from other whites . whites with funny accents  that aren't from around here . rather than from poc .,,
Stereotypes → Incitement,Stereotypes,Incitement,every prez disappoints . just do what is right . israel = good model for whites . i'm leery of jews  but wish them well in israel .,,
Stereotypes → Incitement,Stereotypes,Incitement,: bloom thanks g * d that america is not an ethnostate then ponders various fake forms of unity that leave jew,,
Stereotypes → Incitement,Stereotypes,Incitement,hispanic builder on the mexico wall : ' work is work ',,
Stereotypes → Incitement,Stereotypes,Incitement,people are upset on the cow protection issue  pl . save your core support base  muslims do not vote for you,,
Stereotypes → Incitement,Stereotypes,Incitement,& i discuss alt media  zionism  jewish supremacy  9/11  #brussels :,,
Stereotypes → Incitement,Stereotypes,Incitement,islamists embedded in white house ? #rt #stopislam #crusades #makedclisten #wakeupamerica,,
Stereotypes → Incitement,Stereotypes,Incitement,islamic terror will unite nationalists . but in germany ban on national socialism must go .,,
Stereotypes → Incitement,Stereotypes,Incitement," rt are  "" bronies "" "" the future of white nationalism ? #gay #newright """,,
Stereotypes → Incitement,Stereotypes,Incitement,#macon ga : macon's mlk drive ebt marts are wrapped in anti-theft caging . and tacky  yellow anti-theft cages at that .,,
Stereotypes → Inferiority,Stereotypes,Inferiority,you cannot be pro white and still advocate for open borders and flooding white lands with lazy bludgers,,
Stereotypes → Inferiority,Stereotypes,Inferiority,nature knows no equality . some people are more athletic than others . some people have higher iq than ot,,
Stereotypes → Inferiority,Stereotypes,Inferiority,this makes me want to hang a large banner denoucing degeneracy at any lgbt story hour event . just sayin,,
Stereotypes → Inferiority,Stereotypes,Inferiority,low class  fat white chicks and black men  perfect together ! | chateau heartiste,,
Stereotypes → Inferiority,Stereotypes,Inferiority,"yes, and i think that their greater exposure to blacks is to account for much of this.",,
Stereotypes → Inferiority,Stereotypes,Inferiority,I want to make bumper stickers that say ISLAM IS NOT A PEACEFUL RELIGION and sell them.,,
Threats → Incitement,Threats,Incitement,": gop can """"turn off the federal spigot for #refugeeresettlement"""" it is up to us to make them",,
Threats → Incitement,Threats,Incitement,remove the reasons why illegals come here and illegals will self dep,,
Threats → Incitement,Threats,Incitement,"#mo, this is why y'all need to #draintheswamp, by voting claire out! . is running for u.s. senate. check him out! #mosen #ap4senate #fireclaire",,
Threats → Incitement,Threats,Incitement,pl . stop global jihad  save humanity,,
Threats → Incitement,Threats,Incitement,We have this huge military. Why don't we just go down there and create an ethno-state for whites. Most of the blacks weren't even there when South Africa was founded by whites!,,
Threats → Incitement,Threats,Incitement,defund the israeli welfare state and fully fund the wall ($38 billion) #americafirst,,
Threats → Incitement,Threats,Incitement,yep #saynotoislam follow #stoptheinvasion #norefugees#neverhillary wants a550% increase inrefugees#trumpstrong,,
