post,implicit_class,extra_implicit_class,category,label,true_label,predicted_label,correct
"excuse me miss, when u say non muslim's must be killed does that include rodents? will wait for reply",inferiority,,Inferiority,3,Inferiority,Threats,False
bcs in this hell hole state. illegals have more rights than citizens.,white_grievance,,Grievance,0,Grievance,Inferiority,False
"victories against illegals in nc, or, and texas?",threatening,,Threats,5,Threats,Grievance,False
the african dream is a chance to move to america or europe to live under white privilege / civilization,inferiority,,Inferiority,3,Inferiority,Incitement,False
"by 's logic, all of those cities should be utopia since the evil whiteman left.",irony,,Irony,4,Irony,Inferiority,False
it's a scientific fact that the white race is superior . #opkkk,inferiority,,Inferiority,3,Inferiority,Incitement,False
bad drivers are fined $ <number> now that s just sexist .,irony,,Irony,4,Irony,Grievance,False
islamic terror will unite nationalists . but in germany ban on national socialism must go .,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
#india dear pm pl deport all 40k illegal #rohingya muslims w / o fail . #india is not an orphanage.we don't want terrorists,white_grievance,,Grievance,0,Grievance,Threats,False
aclu is no longer a protector of human rights . they are a protector of sharia rights,incitement,,Incitement,1,Incitement,Stereotypes,False
getting beat up at us flag rallies would be great for our cause at this point . show how much they hate heritage white america,incitement,,Incitement,1,Incitement,Grievance,False
auschwitz didn't have a cinema and swimming pool for its prisoners ! #kkk #bbc3 #auschwitz #stopracism #alllivesmatter,incitement,,Incitement,1,Incitement,Stereotypes,False
" jews hate christians even more than  "" just "" "" white people  so i know i'm doing something right by claimin """,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
: free save white people manual :,white_grievance,,Grievance,0,Grievance,Incitement,False
as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how,incitement,,Incitement,1,Incitement,Inferiority,False
But you're not REALLY disabled. You look so pretty!,stereotypical,,Stereotypes,2,Stereotypes,Irony,False
not surprised . liberals & islamists biggest threat to india . oh & add indian main stream media to it as well,white_grievance,,Grievance,0,Grievance,Stereotypes,False
deport all daca illegals. u.s taxpayer money spent on these illegals wrong and needs to stop. article shows they are not intelligent by any stretch but they do know how to use the u.s. taxpayer thanks to democrats in congress and their crooked ways.,inferiority,,Inferiority,3,Inferiority,Threats,False
no daca deport them they have been on the taxpayer backs along with illegal parents since they arrived . my kids are still paying student loans why are theirs free and i'm paying it makes no sense . let them make their own countries great . no more illegals  daca  entitlements . out,stereotypical,,Stereotypes,2,Stereotypes,Grievance,False
so .. how do all those little black people like those mighty white antifa warriors defending thier existence . it must be refreshing to themlol,incitement,,Incitement,1,Incitement,Irony,False
and pork. mmm bacon. or clothing of mixed fabrics (as long as they don't look gay).,inferiority,,Inferiority,3,Inferiority,Irony,False
i dont think so .. more blacks than whites by tons . easier for everyone they relocate  less blood,incitement,,Incitement,1,Incitement,Stereotypes,False
not to mention jews are listed as whites  so the white per capita number is already distorted ...,white_grievance,,Grievance,0,Grievance,Stereotypes,False
since i'm half white can i still join ? ? i may appear black but i'm white in my heart #whitelivesmatter #whitepride,inferiority,,Inferiority,3,Inferiority,Incitement,False
roy moore can help prevent race-slaughter by planned parenthood & the dnc white elites . his opponent,incitement,,Incitement,1,Incitement,Grievance,False
the white #aryan race has been-throughout history-the most creative & culturally constructive race of people .,inferiority,,Inferiority,3,Inferiority,Incitement,False
yes . a racist of the highest kind ; a screwball feminist ; a windbag who was able to suck in female followers . yes .,white_grievance,,Grievance,0,Grievance,Inferiority,False
blue lives do matterwhen the cop is white,inferiority,,Inferiority,3,Inferiority,Grievance,False
: there is no trust on immigration reform when 1000s of criminals are released instead of deported,stereotypical,,Stereotypes,2,Stereotypes,Threats,False
"#it's so wrong, elder! we need to defund planned butcherhood! those doctors should be ashamed!",irony,,Irony,4,Irony,Threats,False
evangelical groups should be teaching respect for the law. illegal immigrants are breaking the law. no amnesty of any kind,incitement,,Incitement,1,Incitement,Threats,False
the humanitarian crisis & the coming crime wave in u.s. cities stop the #amnesty nightmare!,white_grievance,,Grievance,0,Grievance,Threats,False
" rt are  "" bronies "" "" the future of white nationalism ? #gay #newright """,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
the black guy is trying to tell the other guy what his iq is . #drainthesewer,stereotypical,,Stereotypes,2,Stereotypes,Irony,False
i cannot refute autistic screeching. even jewish sorcery has its limits.,irony,,Irony,4,Irony,Stereotypes,False
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .,white_grievance,,Grievance,0,Grievance,Stereotypes,False
#macon ga : macon's mlk drive ebt marts are wrapped in anti-theft caging . and tacky  yellow anti-theft cages at that .,stereotypical,,Stereotypes,2,Stereotypes,Incitement,False
dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster,incitement,,Incitement,1,Incitement,Inferiority,False
if hindus in bihar want to live with dignity than they need 2 throw out these two psuedos hindus #abkibaarbjpinbihar,incitement,,Incitement,1,Incitement,Threats,False
this is what the anti-white promotes ... multiculturalism sad :,incitement,,Incitement,1,Incitement,Grievance,False
sweden  once a proud scandinavian country  has fallen to disgrace . americans  hold on to your heritage ! there is hope !,white_grievance,,Grievance,0,Grievance,Incitement,False
#roof and jared taylor have something in common they both like jews and think they are useful .,incitement,,Incitement,1,Incitement,Stereotypes,False
defund the israeli welfare state and fully fund the wall ($38 billion) #americafirst,threatening,,Threats,5,Threats,Incitement,False
yep #saynotoislam follow #stoptheinvasion #norefugees#neverhillary wants a550% increase inrefugees#trumpstrong,threatening,,Threats,5,Threats,Incitement,False
so is the white hating  jew hating cult  the nation of islam . what's your point ?,white_grievance,,Grievance,0,Grievance,Stereotypes,False
I want to make bumper stickers that say ISLAM IS NOT A PEACEFUL RELIGION and sell them.,stereotypical,,Stereotypes,2,Stereotypes,Inferiority,False
"as a legal immigrant who hd 2 hv a job, a sponsor, no govt help for 5 yrs, this is music 2 my taxpaying ears! it's time 2 end the free ride",white_grievance,,Grievance,0,Grievance,Threats,False
